#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B219AA
#Date Time: 2023-11-10 14:45:46.634
#Start: 200 Hz
#Stop: 20000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48659 V
#Offset: 0.000303741 V
#Relative: no
#Channel: Channel 2
#Range: 5.51645 V
#Offset: 2.80109e-05 V
#Relative: yes
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
200.0000000000002,-31.32419617511388,31.35296166479302,90.88606403703794
206.2354549186113,-31.04605169532798,31.07495601827964,90.80876639796338
212.6653143274324,-30.77165795900785,30.80079225635288,90.83816099624784
219.2956392286372,-30.51508373654965,30.54417970120716,90.84766693956014
226.132679589928,-30.24122683198685,30.27050482297891,90.85810633969594
233.1828802359666,-29.98736001319031,30.01630939571365,90.90201345885269
240.4528869234829,-29.70894231850603,29.73798754745327,90.89992188009046
247.9495526057891,-29.44728007629019,29.47585681481637,90.9872828858455
255.679943892605,-29.17563103703634,29.20471050553571,90.93405965197354
263.6513477112817,-28.90827674892407,28.93726504768356,90.97088458393024
271.8712781757054,-28.64338333167236,28.67230798616504,90.95539162458238
280.3474836693543,-28.37483952243524,28.40396918015507,90.98582851427183
289.0879541491857,-28.09736783682533,28.12646042165274,91.00233279971471
298.1009286772395,-27.82705416888547,27.8562770872335,91.02059184832115
307.3949031870546,-27.56604030693803,27.5950834102026,91.06420047648649
316.978638492223,-27.28771642771066,27.31661070087458,91.06822315393697
326.8611685446278,-27.01035326133934,27.03927221570051,91.08711351220224
337.0518089501506,-26.74690058421058,26.77563209085739,91.11061175603619
347.5601657498755,-26.46986581016868,26.49852900083507,91.12316996512141
358.3961444750672,-26.19312761840575,26.22178929964317,91.16965973182928
369.5699594844585,-25.92253706308192,25.95183641629628,91.16916430257734
381.0921435926499,-25.64737427505891,25.67585162726196,91.22592597765689
392.973557998694,-25.37319627042539,25.40184440985093,91.23395697585967
405.225402524229,-25.10331728977399,25.13223981332322,91.2872262760016
417.8592261708084,-24.82810224635269,24.8567552093639,91.29736332525103
430.8869380063771,-24.55778955572627,24.58653931711037,91.31781045956463
444.3208183911628,-24.27722683636089,24.30573280815261,91.36118435523423
458.1735305535549,-24.00130359747319,24.02973736991093,91.37309546156021
472.4581325268928,-23.72069263057003,23.7491603823803,91.42694155163763
487.1880894584059,-23.44202238178574,23.47057253034158,91.45750586035315
502.3772863019165,-23.16490744230046,23.19316132223065,91.49427179399757
518.0400409062653,-22.88093878306663,22.90939703136067,91.51495056800697
534.1911175117976,-22.59815766813141,22.62642874342227,91.55777678033746
550.8457406676338,-22.3150118297216,22.34350468588897,91.58963853628224
568.0196095828436,-22.02820527678188,22.05669028203635,91.63715902473874
585.7289129250481,-21.74527631153978,21.77425632397195,91.67596986683481
603.9903440804038,-21.45612317802357,21.48485096312823,91.73103628528357
622.8211168893527,-21.1710141991351,21.19977116481123,91.77326480694072
642.2389818729652,-20.88157139045478,20.91028567080959,91.80623896903998
662.2622429651825,-20.58707774725538,20.61579309813337,91.85396305290197
682.9097747667205,-20.29537385680965,20.32376900460532,91.92174532201949
704.2010403369043,-19.99917837352988,20.02802269609149,91.97148920614643
726.1561095402031,-19.70134053336995,19.7300380891164,92.03509961017762
748.7956779647625,-19.40425837841632,19.43294833870072,92.08140522668788
772.141086430763,-19.10046473096148,19.12868666252586,92.15009996624806
796.2143411069951,-18.79584385740902,18.82417120912404,92.22194392574988
821.0381342546161,-18.48956235842934,18.51821464873243,92.26949448953539
846.6358656176421,-18.18561099968937,18.21389237801074,92.34706810106661
873.0316644803327,-17.87111088652422,17.89986278387819,92.42815868246269
900.2504124122678,-17.55444083131442,17.58244012699528,92.49643399890414
928.3177667225559,-17.23729559309797,17.26560489114424,92.57363754762154
957.2601846452776,-16.91445897592066,16.94271238230263,92.65157869437559
987.1049482789617,-16.58989803019315,16.61856882539266,92.75046808187764
1017.880190303618,-16.25954400775341,16.28792197755921,92.83080594321893
1049.614920499546,-15.92461274727068,15.9536383416453,92.93130342409661
1082.339053092928,-15.58736854324436,15.61524913134384,93.05510803037383
1116.083434953993,-15.24311535800982,15.2711100454151,93.1511232083397
1150.879874674314,-14.89167174790233,14.91942863473946,93.27441098907362
1186.761172550657,-14.53355876709868,14.5614552537191,93.40570309321265
1223.761151503644,-14.16733695428026,14.19578123987584,93.5281753733999
1261.914688960387,-13.7949450982727,13.8230128403718,93.67747423454463
1301.257749731115,-13.41556575152422,13.44424106577946,93.82310182840033
1341.827419910823,-13.02633800035547,13.05447279375383,93.98337554847694
1383.661941837873,-12.62765016953943,12.6562248381539,94.16694969841954
1426.800750142514,-12.21684277970328,12.24430826438381,94.35939856984544
1471.284508919284,-11.79638107934546,11.82422085920355,94.55038602966818
1517.155150058368,-11.36211378398348,11.39047132416979,94.78506456409698
1564.455912772006,-10.91338408441473,10.94118140085278,95.0308128892722
1613.231384353228,-10.44805991733288,10.476775379429,95.30146199066968
1663.527542205343,-9.966242131645512,9.994006415969649,95.58758317980566
1715.391797181789,-9.46429556847727,9.491595323704487,95.91780047361888
1768.873038277201,-8.940635661479192,8.969115472209486,96.2808360095039
1824.02167871182,-8.389562578578282,8.417720095632227,96.70209956639346
1880.889703452705,-7.811696870529016,7.838926788182658,97.15406555331114
1939.5307182165,-7.198928345176436,7.226953590990312,97.67718071814645
2000.000000000001,-6.549077075837523,6.5772523255535,98.28072580840745
2062.354549186112,-5.854000902179582,5.881925106194096,98.99202000984478
2126.653143274323,-5.107571820152432,5.13510791404414,99.8152623798434
2192.956392286371,-4.298580933774442,4.327432233245524,100.7939007607162
2261.326795899279,-3.418038179665714,3.44555983937751,101.9969296796879
2331.828802359665,-2.44549774637815,2.473625775094477,103.4914675328814
2404.528869234827,-1.359118652217849,1.387507037579117,105.3992894075673
2479.495526057889,-0.1302238549577107,0.1570320102951597,107.9313695035746
2556.799438926048,1.289292033406517,-1.262006412074753,111.4313368385371
2636.513477112816,2.96124992444403,-2.933063878692578,116.6223387765599
2718.712781757052,4.951727245641516,-4.924626265348268,124.9392053732557
2803.474836693542,7.204608550569604,-7.17714362318835,139.3098187686791
2890.879541491856,8.96931161933307,-8.941665697440946,162.5871636756878
2981.009286772394,9.13570011033269,-9.107080225356926,-171.1536098368505
3073.949031870545,8.198142406599963,-8.169445819137408,-150.1023500705479
3169.786384922229,6.586930739585602,-6.55807369328733,-135.3731800298928
3268.611685446277,4.882566825220741,-4.853841744421215,-125.3239102925449
3370.518089501504,3.27274607212155,-3.243942806762184,-118.3941984183452
3475.601657498753,1.808430263062289,-1.778727811255844,-113.4795175958743
3583.961444750669,0.4927952131442371,-0.4640756966267097,-109.8907011703561
3695.699594844582,-0.6911340313994625,0.7195920909353888,-107.179725820551
3810.921435926495,-1.759551926737941,1.789035703343437,-105.0773638045911
3929.735579986935,-2.732522985422349,2.761374913008669,-103.4069779434697
4052.254025242288,-3.623168528837897,3.651246896569644,-102.0477797964685
4178.592261708081,-4.444166585306268,4.473762016249385,-100.9344045102745
4308.869380063767,-5.20658708335425,5.236000643179341,-99.99713556297758
4443.208183911624,-5.917570160903453,5.94765459183209,-99.19606200906415
4581.735305535548,-6.585243693856761,6.616051352204039,-98.50029518444421
4724.581325268924,-7.213217430517251,7.242455497007265,-97.90868576992533
4871.880894584056,-7.809355420771209,7.836762866253767,-97.38247385989723
5023.77286301916,-8.372777885599641,8.403300007259988,-96.92123475174496
5180.400409062649,-8.91129297970571,8.941706235894429,-96.50292508712758
5341.911175117972,-9.425421912293793,9.455966324632715,-96.13357672087368
5508.457406676333,-9.91922771713182,9.950745275928856,-95.80158128297195
5680.196095828432,-10.3950811754538,10.42588958723787,-95.50244601846583
5857.289129250474,-10.85320196023566,10.88376261300582,-95.22256489565945
6039.903440804034,-11.29624914533091,11.32624205043812,-94.97509972639337
6228.211168893522,-11.72676679852986,11.75779469069734,-94.72708838049844
6422.389818729645,-12.14394796601122,12.17581003198557,-94.52500538854326
6622.622429651824,-12.54945668205088,12.58179652819726,-94.32349766510306
6829.097747667207,-12.94399879443666,12.97710747975999,-94.13173757527284
7042.01040336904,-13.33003061232793,13.36320559431186,-93.95622311200486
7261.561095402029,-13.71008506730792,13.74238420051081,-93.79585116558738
7487.956779647623,-14.08759688498721,14.11321013558738,-93.65386928843287
7721.410864307629,-14.45036540807518,14.47444596545686,-93.51419400426978
7962.143411069948,-14.79795637201548,14.83076236102865,-93.39113776577238
8210.381342546159,-15.14735699329121,15.18156273099445,-93.24584242720778
8466.358656176419,-15.49027671564551,15.52239528699982,-93.14252757729574
8730.316644803319,-15.836100032926,15.86195037902228,-93.01993524976662
9002.504124122674,-16.15840908113425,16.19442135120493,-92.90949128317368
9283.17766722556,-16.48467172200781,16.52096439821899,-92.82542123319831
9572.601846452766,-16.82290532059301,16.84802544898476,-92.69514304045441
9871.049482789615,-17.13222681500607,17.16825603449676,-92.62986327518414
10178.80190303618,-17.44672534194361,17.48343578392219,-92.53442398557667
10496.14920499545,-17.7642200782881,17.8006168320873,-92.47156109202726
10823.39053092927,-18.07017699308701,18.1077568978871,-92.36566303453921
11160.83434953993,-18.38966160196756,18.41802958960454,-92.28449009065017
11508.79874674314,-18.68201483706329,18.72063366769773,-92.20511912945523
11867.61172550656,-18.99549961077588,19.02256420689148,-92.16162902152405
12237.61151503644,-19.28611411016328,19.32524210606407,-92.08406808170798
12619.14688960387,-19.59338025445523,19.62312273239408,-92.02390888863295
13012.57749731114,-19.88266343465247,19.92268799565679,-91.94065851175533
13418.27419910822,-20.185117127807,20.21176088536888,-91.9048381188781
13836.61941837873,-20.46506823570363,20.5070811082771,-91.82028474049207
14268.00750142512,-20.75963756374886,20.79979676952077,-91.79248190699127
14712.84508919283,-21.04220583165117,21.08494934977533,-91.72056698870119
15171.55150058367,-21.3216691279716,21.36612809362099,-91.65533317902668
15644.55912772005,-21.6123072182289,21.65567937820141,-91.59879710549248
16132.31384353227,-21.89990658897123,21.94455489027085,-91.57242071288077
16635.27542205342,-22.18215370906899,22.22497692733792,-91.4946023723443
17153.91797181788,-22.46675129268885,22.51218322051639,-91.46775147961696
17688.730382772,-22.74414177824988,22.78557126771311,-91.41658555674047
18240.21678711819,-23.02969034504852,23.06741789064876,-91.37122960737267
18808.89703452704,-23.29389122701196,23.34027998232805,-91.34782188312619
19395.30718216498,-23.58788328303764,23.62241837728423,-91.26441951197256
20000,-23.85679414483029,23.9004671627886,-91.2553675946707
